tract_name,median_income,total_population,white_population,black_population,asian_population,state,county,tract,tract_geoid,white_pct,black_pct,asian_pct
Census Tract 30.01; Sacramento County; California,58689,2826,1176,346,205,06,067,003001,06067003001,0.416135881104034,0.1224345364472753,0.07254069355980183
Census Tract 30.02; Sacramento County; California,84917,4010,1951,214,258,06,067,003002,06067003002,0.48653366583541147,0.05336658354114713,0.06433915211970075
Census Tract 31.01; Sacramento County; California,88396,3560,1168,201,265,06,067,003101,06067003101,0.32808988764044944,0.056460674157303374,0.07443820224719101
Census Tract 31.02; Sacramento County; California,90625,3015,1328,180,233,06,067,003102,06067003102,0.4404643449419569,0.05970149253731343,0.07728026533996683
Census Tract 32.02; Sacramento County; California,55357,4793,1094,172,1091,06,067,003202,06067003202,0.2282495305654079,0.0358856665971208,0.22762361777592321
Census Tract 32.03; Sacramento County; California,69196,3028,432,125,1673,06,067,003203,06067003203,0.142668428005284,0.04128137384412153,0.5525099075297226
Census Tract 32.04; Sacramento County; California,85395,6289,1013,394,2543,06,067,003204,06067003204,0.16107489266974082,0.06264906980442042,0.4043568134838607
Census Tract 33; Sacramento County; California,125694,4773,3053,34,419,06,067,003300,06067003300,0.6396396396396397,0.007123402472239681,0.08778545987848313
Census Tract 34; Sacramento County; California,97311,4617,1694,205,802,06,067,003400,06067003400,0.36690491661251895,0.0444011262724713,0.17370586961230236
Census Tract 35.01; Sacramento County; California,93772,2530,1251,96,170,06,067,003501,06067003501,0.4944664031620553,0.037944664031620556,0.06719367588932806
Census Tract 35.02; Sacramento County; California,98603,2977,1345,13,646,06,067,003502,06067003502,0.4517971111857575,0.004366812227074236,0.21699697682230434
Census Tract 36; Sacramento County; California,86094,2485,899,158,228,06,067,003600,06067003600,0.3617706237424547,0.0635814889336016,0.09175050301810865
Census Tract 37; Sacramento County; California,72451,4657,772,1173,680,06,067,003700,06067003700,0.1657719561949753,0.25187889199055186,0.14601674898003006
Census Tract 38; Sacramento County; California,74545,5034,1253,969,979,06,067,003800,06067003800,0.24890742947953914,0.19249106078665076,0.19447755264203417
Census Tract 39; Sacramento County; California,108644,3806,1953,135,691,06,067,003900,06067003900,0.5131371518654756,0.035470310036784025,0.1815554387808723
