zipcode,poname,primaryruca,urbanicity,tract_geoid,weight,tract_name,median_income,total_population,white_population,black_population,asian_population,state,county,tract,white_pct,black_pct,asian_pct,mean_download_mbps,median_download_mbps,speed_std_mbps,mean_latency_ms,test_count,fcc_reported_mbps,speed_gap_mbps
95822,Sacramento,1,Urban,06067003800,1.0,Census Tract 38; Sacramento County; California,74545.0,5034.0,1253.0,969.0,979.0,6,67,3800,0.2489074294795391,0.1924910607866507,0.1944775526420341,130.0133076447087,72.03441602212948,142.75595755088122,26.37301719846119,8838.0,2000.0,1927.9655839778704
95823,Sacramento,1,Urban,06067004910,1.0,Census Tract 49.10; Sacramento County; California,67404.0,4543.0,429.0,356.0,1527.0,6,67,4910,0.0944309927360774,0.0783623156504512,0.336121505613031,108.7203447346086,41.748947718724686,133.5726467366461,20.93855756510477,64857.0,2000.0,1958.2510522812754
95824,Sacramento,1,Urban,06067004604,1.0,Census Tract 46.04; Sacramento County; California,49596.0,5215.0,754.0,1156.0,968.0,6,67,4604,0.1445829338446788,0.2216682646212847,0.1856184084372003,103.31100118809654,39.751746234283885,131.19791821616153,21.84493832884097,9275.0,2000.0,1960.248253765716
95825,Sacramento,1,Urban,06067005506,1.0,Census Tract 55.06; Sacramento County; California,56599.0,3760.0,1002.0,436.0,281.0,6,67,5506,0.2664893617021276,0.1159574468085106,0.0747340425531915,95.5242275460852,39.088805161439204,120.84101913403784,21.454221882192925,38232.0,2000.0,1960.9111948385607
95826,Sacramento,1,Urban,06067009109,1.0,Census Tract 91.09; Sacramento County; California,116596.0,5360.0,2294.0,520.0,548.0,6,67,9109,0.4279850746268657,0.0970149253731343,0.1022388059701492,106.2184300391274,41.293625809405775,128.54289670576367,19.66484679968392,20248.0,2000.0,1958.7063741905943
95827,Sacramento,1,Urban,06067009004,1.0,Census Tract 90.04; Sacramento County; California,95750.0,3865.0,2368.0,85.0,212.0,6,67,9004,0.6126778783958603,0.0219922380336351,0.0548512289780077,83.95551814506753,34.532362102098986,114.92772918573448,26.003663997352746,15110.0,2000.0,1965.467637897901
95828,Sacramento,1,Urban,06067005101,1.0,Census Tract 51.01; Sacramento County; California,75217.0,5611.0,697.0,613.0,1459.0,6,67,5101,0.1242202815897344,0.1092496881126359,0.2600249509891285,100.6493402016379,46.20047004695682,122.57041704691343,21.040733987035814,36408.0,2000.0,1953.7995299530432
95829,Sacramento,1,Urban,06067009311,1.0,Census Tract 93.11; Sacramento County; California,94678.0,6506.0,1635.0,447.0,2861.0,6,67,9311,0.2513064863203197,0.0687058100215186,0.4397479249923148,122.1669667211731,58.377391713571264,141.1688072968002,21.92418430531075,13049.0,2000.0,1941.6226082864287
95830,Sacramento,1,Urban,06067009201,1.0,Census Tract 92.01; Sacramento County; California,96382.0,6824.0,1841.0,721.0,2248.0,6,67,9201,0.2697831184056272,0.1056565064478311,0.3294255568581477,94.80815846459124,61.06029089442673,113.18904127834963,9.371500000000001,10.0,2000.0,1938.9397091055732
95831,Sacramento,1,Urban,06067004018,1.0,Census Tract 40.18; Sacramento County; California,66276.0,3143.0,582.0,308.0,1314.0,6,67,4018,0.1851734012090359,0.0979955456570155,0.4180719058224626,106.4761319787098,51.543023567078734,126.79621189425096,23.268148873483536,5770.0,2000.0,1948.4569764329212
95832,Sacramento,1,Urban,06067009601,1.0,Census Tract 96.01; Sacramento County; California,78779.0,7076.0,806.0,1063.0,2403.0,6,67,9601,0.1139061616732617,0.1502261164499717,0.3395986433013002,95.00533060221994,37.401338096674124,122.00036253866834,18.812895794392524,2140.0,2000.0,1962.5986619033258
95833,Sacramento,1,Urban,06067007011,1.0,Census Tract 70.11; Sacramento County; California,102277.0,7301.0,1898.0,1958.0,763.0,6,67,7011,0.2599643884399397,0.2681824407615395,0.1045062320230105,108.6536345629608,49.43596577274543,129.99440599673784,23.026889802707576,21643.0,2000.0,1950.5640342272545
95834,Sacramento,1,Urban,06067007028,1.0,Census Tract 70.28; Sacramento County; California,107500.0,5386.0,1075.0,1246.0,1346.0,6,67,7028,0.1995915336056442,0.2313405124396583,0.2499071667285555,154.51012405270419,91.15132115675648,153.9029372592931,20.806451806883913,17461.0,2000.0,1908.8486788432435
95835,Sacramento,1,Urban,06067007106,1.0,Census Tract 71.06; Sacramento County; California,121121.0,6813.0,1822.0,669.0,2603.0,6,67,7106,0.2674299134008513,0.098194627917217,0.3820637017466608,117.69613511566462,60.76826099755539,132.87954406221363,17.367145986121617,30407.0,2000.0,1939.2317390024446
95836,Sacramento,2,Suburban,06067007101,1.0,Census Tract 71.01; Sacramento County; California,192938.0,1355.0,465.0,31.0,533.0,6,67,7101,0.3431734317343173,0.0228782287822878,0.3933579335793358,,,,,,2000.0,
95837,Sacramento,2,Suburban,06067007101,1.0,Census Tract 71.01; Sacramento County; California,192938.0,1355.0,465.0,31.0,533.0,6,67,7101,0.3431734317343173,0.0228782287822878,0.3933579335793358,,,,,,2000.0,
95838,Sacramento,1,Urban,06067006501,1.0,Census Tract 65.01; Sacramento County; California,46219.0,5162.0,866.0,1196.0,958.0,6,67,6501,0.1677644323905463,0.2316931421929484,0.1855869817900038,105.61094106355726,41.275989071433884,131.18852558441907,19.502548617194346,31964.0,2000.0,1958.724010928566
95841,Sacramento,1,Urban,06067007501,1.0,Census Tract 75.01; Sacramento County; California,55778.0,7444.0,4900.0,461.0,378.0,6,67,7501,0.6582482536270822,0.0619290703922622,0.0507791509940892,89.07062482574982,35.147651365021815,115.24434445801737,23.55632107157137,15006.0,2000.0,1964.8523486349782
95842,Sacramento,1,Urban,06067007416,1.0,Census Tract 74.16; Sacramento County; California,71618.0,4154.0,2289.0,441.0,247.0,6,67,7416,0.5510351468464131,0.1061627347135291,0.0594607607125662,110.1631407607805,46.46683279200861,132.69723600576424,20.443078656301353,31644.0,2000.0,1953.5331672079915
95843,Antelope,1,Urban,06067007430,1.0,Census Tract 74.30; Sacramento County; California,97479.0,7776.0,4230.0,1017.0,472.0,6,67,7430,0.5439814814814815,0.130787037037037,0.0606995884773662,116.95238882026224,71.03949628370754,128.56017946118723,18.81388154506438,13980.0,2000.0,1928.9605037162924
95864,Sacramento,1,Urban,06067005702,1.0,Census Tract 57.02; Sacramento County; California,196875.0,4483.0,3676.0,58.0,143.0,6,67,5702,0.8199866161052867,0.0129377648895828,0.0318982824001784,149.8430348809757,89.09597099441416,152.58092308961437,17.673666873295314,16132.0,2000.0,1910.904029005586
